Building,Business,Entertainment,Medicine,Otdoor,Religion,Residence,Restaurant,School,Shopping,Snackbar,Sports,Traffic
225,0,0,0.714286,0.285714,0,0,0,0,0,0,0,0,0
226,0,0,0.52381,0.333333,0,0,0.047619,0,0,0,0,0,0.0952381
227,0.0666667,0.0666667,0.533333,0.266667,0,0,0,0,0,0,0,0,0.0666667
228,0.0322581,0.0322581,0.516129,0.322581,0,0,0.0322581,0,0,0,0,0,0.0645161
229,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0
230,1,0,0,0,0,0,0,0,0,0,0,0,0
231,0.333333,0,0.333333,0.166667,0,0,0.166667,0,0,0,0,0,0
232,0.125,0,0.375,0.25,0,0,0.25,0,0,0,0,0,0
233,0.2,0,0.2,0.2,0,0,0.4,0,0,0,0,0,0
234,0.166667,0,0.166667,0.333333,0,0,0.333333,0,0,0,0,0,0
235,0.2,0,0.2,0.4,0,0,0.2,0,0,0,0,0,0
236,0.0416667,0.0416667,0.458333,0.208333,0.0416667,0,0.166667,0,0,0,0,0,0.0416667
237,0.0833333,0,0.416667,0.416667,0,0,0.0833333,0,0,0,0,0,0
238,0,0,0.444444,0.444444,0.0555556,0,0,0,0,0,0,0,0.0555556
239,0,0,0.4,0.466667,0.0666667,0,0,0,0,0,0,0,0.0666667
240,0.166667,0,0.833333,0,0,0,0,0,0,0,0,0,0
241,0,0.2,0.4,0.1,0.1,0,0,0,0,0,0.2,0,0
242,0.0769231,0.0769231,0.461538,0.230769,0,0,0.0769231,0,0,0,0.0769231,0,0
243,0.1,0,0.4,0.3,0,0,0.1,0,0,0,0.1,0,0
244,0.125,0,0.5,0.25,0,0,0.0625,0,0,0,0.0625,0,0
245,0.2,0,0.6,0.2,0,0,0,0,0,0,0,0,0
246,0.111111,0.111111,0.666667,0.111111,0,0,0,0,0,0,0,0,0
247,0,0,0.428571,0.571429,0,0,0,0,0,0,0,0,0
248,0,0,0.2,0.8,0,0,0,0,0,0,0,0,0
249,0,0,0.461538,0.384615,0.0769231,0,0,0.0769231,0,0,0,0,0
250,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0
251,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0
252,0.2,0,0.4,0,0,0,0,0.4,0,0,0,0,0
253,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0
